gene_name,gene_type,funct_category,VFCIXPIL,VFOMMDIS,VFQUISP,VFCIXIUS,VFTETHEX,VFBLASP1,VFCALBON1,VFISSKAZ,VFLIBAN,VFDESRAP,VFASICLA,VFHYALUT,VFTRYOCC,VFBRUOCU,VFTETSUL,VFBRUSP1,VFCEDSP1,VFDICMUL,VFPARIOC,VFLACSP,VFMEETHA,VFDICEUR,VFCALKRU,VFTETIMP,VFMELPLA,VFPITSP,VFLOPSAC,VFORGSP,VFLYNSP,VFPYRCLA,VFTETMAC,VFVIZSP,VFCOTACU,VFOECSP1,VFBRI,VFPARPLA,VFKELVIT,VFOLIH,VFSTELAU,VFPYRVIR,VFPROSP,VFPINALT,VFZOPTEN,VFPYRLAN,VFIDISP1,VFIND2,VFKELRIB,VFMEEMAD,VFISSCOL1,VFMYCCUN,VFRANEDI,VFMEESKO,VFOMMLON,VFBEB,VFOMOUHL,VFPENROR,VFMALBOS,VFSCODIS,VFAKOQUE,VFSACSP1,VFPENVAR,VFUGYOPS,VFAGAHAV,VFUGYLON,VFCIXNER,VFBLASP2,VFRANSCY,VFSTEMIN,VFMEEALB,VFDICPAN5,
hisG,Protein,Biosynthesis-Histidine,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFVIZSP02,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxY,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,
rplX,Protein,translation - ribosomal protein,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxVFTETHEX05,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
clpX,Protein,protein folding and degradation,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rpoD,Protein,Transcription,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
trxA,Protein,not_yet_classified,Functional,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,
xxxVFCIXIUS01,Protein,not_yet_classified,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,
pheS,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxBS,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,
infA,Protein,Translation,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
