gene_name,gene_type,funct_category,VFCIXPIL,VFOMMDIS,VFQUISP,VFCIXIUS,VFTETHEX,VFBLASP1,VFCALBON1,VFISSKAZ,VFLIBAN,VFDESRAP,VFASICLA,VFHYALUT,VFTRYOCC,VFBRUOCU,VFTETSUL,VFBRUSP1,VFCEDSP1,VFDICMUL,VFPARIOC,VFLACSP,VFMEETHA,VFDICEUR,VFCALKRU,VFTETIMP,VFMELPLA,VFPITSP,VFLOPSAC,VFORGSP,VFLYNSP,VFPYRCLA,VFTETMAC,VFVIZSP,VFCOTACU,VFOECSP1,VFBRI,VFPARPLA,VFKELVIT,VFOLIH,VFSTELAU,VFPYRVIR,VFPROSP,VFPINALT,VFZOPTEN,VFPYRLAN,VFIDISP1,VFIND2,VFKELRIB,VFMEEMAD,VFISSCOL1,VFMYCCUN,VFRANEDI,VFMEESKO,VFOMMLON,VFBEB,VFOMOUHL,VFPENROR,VFMALBOS,VFSCODIS,VFAKOQUE,VFSACSP1,VFPENVAR,VFUGYOPS,VFAGAHAV,VFUGYLON,VFCIXNER,VFBLASP2,VFRANSCY,VFSTEMIN,VFMEEALB,VFDICPAN5,
proS,Protein,Translation - aminoacyl-tRNA synthetase,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,
xxxVFAGAHAV01,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxVFKELRIB01,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,
xxxVFMALBOS07,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rplB,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFOMMDIS01,Protein,not_yet_classified,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,
holB,Protein,DNA replication,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
rpsK,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFUGYLON04,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,
xxxVFUGYOPS04,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,
smpB,Protein,trans-translation,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Absent,Absent,
rplW,Protein,translation - ribosomal protein,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,
clpP,Protein,protein folding and degradation,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rsmA,Protein,Translation - rRNA processing,Absent,Functional,Absent,Pseudogene,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Pseudogene,Absent,Functional,Functional,Functional,Putative,Functional,Functional,Putative,Absent,Functional,Functional,Functional,Pseudogene,Functional,Functional,Putative,Functional,Functional,Functional,Pseudogene,Putative,Functional,Functional,Functional,Pseudogene,Pseudogene,Functional,Functional,Absent,Pseudogene,Putative,Functional,Pseudogene,Putative,Functional,Pseudogene,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Pseudogene,Putative,Absent,Functional,Absent,Functional,Pseudogene,Functional,Pseudogene,Functional,Functional,Functional,Functional,Pseudogene,Functional,
rpsR,Protein,translation - ribosomal protein,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Putative,Functional,Pseudogene,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Pseudogene,Absent,Absent,Functional,Absent,Functional,Functional,Pseudogene,Putative,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Putative,Functional,Pseudogene,Absent,Functional,Functional,Absent,
trpA,Protein,Biosynthesis-Tryptophan,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,
xxxVFBEB05,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxVFQUISP05,Protein,not_yet_classified,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
aroC,Protein,Biosynthesis-Phenylalanine,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rpsE,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rpsI,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
lysS,Protein,Biosynthesis-Lysine,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Functional,
hisE,Protein,Biosynthesis-Histidine,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Putative,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxOLIH05,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
xxxVFUGYOPS06,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,
xxxG,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,
xxxRANSCY02,Protein,not_yet_classified,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,
prsA,Protein,Metabolism - 5-phospho-alpha-D-ribose 1-diphosphate biosynthesis,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Pseudogene,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rpsF,Protein,translation - ribosomal protein,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Putative,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Putative,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Absent,Functional,
rpoA,Protein,Transcription,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFMALBOS06,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
aspC,Protein,Biosynthesis-Phenylalanine,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,
thrC,Protein,Biosynthesis-Threoinine,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Pseudogene,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
rpsG,Protein,translation - ribosomal protein,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
iscS,Protein,Metabolism - iron-sulfur cluster biosynthesis,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,
rplD,Protein,translation - ribosomal protein,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFLOPSAC01,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,
rpsB,Protein,translation - ribosomal protein,Putative,Functional,Functional,Functional,Putative,Putative,Putative,Putative,Functional,Absent,Absent,Functional,Putative,Functional,Functional,Functional,Absent,Absent,Putative,Putative,Functional,Absent,Absent,Putative,Functional,Putative,Putative,Absent,Absent,Absent,Absent,Absent,Putative,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Functional,Putative,Functional,Absent,Functional,Functional,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Putative,Absent,Absent,Functional,Absent,
groEL,Protein,Protein folding and degradation,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,
xxxVFCIXIUS03,Protein,not_yet_classified,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,
glnS,Protein,Translation - aminoacyl-tRNA synthetase,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,Absent,Functional,Functional,Absent,Functional,Absent,Functional,Absent,Functional,Functional,Functional,Absent,Functional,Absent,
xxxVFCIXIUS06,Protein,not_yet_classified,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,
xxxVFPARIOC02,Protein,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,
dapC,Protein,Biosynthesis-Lysine,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Functional,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Absent,Functional,Absent,Absent,Absent,Functional,Absent,Functional,Absent,Absent,Absent,Absent,Functional,Absent,Absent,Absent,Absent,Absent,Functional,Functional,Functional,Functional,Functional,Functional,Absent,Absent,Functional,
